Model,Nickname,Serial Number,Detector
LSRFortessa X-20,X-20A (Groucho),H656385010,UV-740
LSRFortessa X-20,X-20A (Groucho),H656385010,UV-670
LSRFortessa X-20,X-20A (Groucho),H656385010,UV-515
LSRFortessa X-20,X-20A (Groucho),H656385010,UV-379
LSRFortessa X-20,X-20A (Groucho),H656385010,V-780
LSRFortessa X-20,X-20A (Groucho),H656385010,V-710
LSRFortessa X-20,X-20A (Groucho),H656385010,V-670
LSRFortessa X-20,X-20A (Groucho),H656385010,V-610
LSRFortessa X-20,X-20A (Groucho),H656385010,V-525
LSRFortessa X-20,X-20A (Groucho),H656385010,V-450
LSRFortessa X-20,X-20A (Groucho),H656385010,B-695
LSRFortessa X-20,X-20A (Groucho),H656385010,B-525
LSRFortessa X-20,X-20A (Groucho),H656385010,SSC
LSRFortessa X-20,X-20A (Groucho),H656385010,YG-780
LSRFortessa X-20,X-20A (Groucho),H656385010,YG-610
LSRFortessa X-20,X-20A (Groucho),H656385010,YG-582
LSRFortessa X-20,X-20A (Groucho),H656385010,PE
LSRFortessa X-20,X-20A (Groucho),H656385010,R-780
LSRFortessa X-20,X-20A (Groucho),H656385010,R-730
LSRFortessa X-20,X-20A (Groucho),H656385010,R-670
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-820
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-740
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-670
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-560
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-515
LSRFortessa X-20,X-20B (Harpo),H656385049,UV-379
LSRFortessa X-20,X-20B (Harpo),H656385049,V-780
LSRFortessa X-20,X-20B (Harpo),H656385049,V-710
LSRFortessa X-20,X-20B (Harpo),H656385049,V-670
LSRFortessa X-20,X-20B (Harpo),H656385049,V-610
LSRFortessa X-20,X-20B (Harpo),H656385049,V-525
LSRFortessa X-20,X-20B (Harpo),H656385049,V-450
LSRFortessa X-20,X-20B (Harpo),H656385049,780/60
LSRFortessa X-20,X-20B (Harpo),H656385049,B-780
LSRFortessa X-20,X-20B (Harpo),H656385049,B-695
LSRFortessa X-20,X-20B (Harpo),H656385049,B-610
LSRFortessa X-20,X-20B (Harpo),H656385049,B-575
LSRFortessa X-20,X-20B (Harpo),H656385049,B-525
LSRFortessa X-20,X-20B (Harpo),H656385049,SSC
LSRFortessa X-20,X-20B (Harpo),H656385049,780/60
LSRFortessa X-20,X-20B (Harpo),H656385049,780/61
LSRFortessa X-20,X-20B (Harpo),H656385049,R-670
LSRFortessa X-20,X-20C (Chico),H656385048,UV-740
LSRFortessa X-20,X-20C (Chico),H656385048,UV-670
LSRFortessa X-20,X-20C (Chico),H656385048,UV-515
LSRFortessa X-20,X-20C (Chico),H656385048,UV-379
LSRFortessa X-20,X-20C (Chico),H656385048,V-780
LSRFortessa X-20,X-20C (Chico),H656385048,V-710
LSRFortessa X-20,X-20C (Chico),H656385048,V-670
LSRFortessa X-20,X-20C (Chico),H656385048,V-610
LSRFortessa X-20,X-20C (Chico),H656385048,V-525
LSRFortessa X-20,X-20C (Chico),H656385048,V-450
LSRFortessa X-20,X-20C (Chico),H656385048,B-695
LSRFortessa X-20,X-20C (Chico),H656385048,B-525
LSRFortessa X-20,X-20C (Chico),H656385048,SSC
LSRFortessa X-20,X-20C (Chico),H656385048,YG-780
LSRFortessa X-20,X-20C (Chico),H656385048,YG-610
LSRFortessa X-20,X-20C (Chico),H656385048,YG-582
LSRFortessa X-20,X-20C (Chico),H656385048,PE
LSRFortessa X-20,X-20C (Chico),H656385048,R-780
LSRFortessa X-20,X-20C (Chico),H656385048,R-730
LSRFortessa X-20,X-20C (Chico),H656385048,R-670
LSRFortessa X-20,X-20D (Applejack),R658226R1115,B-695
LSRFortessa X-20,X-20D (Applejack),R658226R1115,B-525
LSRFortessa X-20,X-20D (Applejack),R658226R1115,SSC
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-780
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-710
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-670
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-610
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-525
LSRFortessa X-20,X-20D (Applejack),R658226R1115,V-450
LSRFortessa X-20,X-20D (Applejack),R658226R1115,R-780
LSRFortessa X-20,X-20D (Applejack),R658226R1115,R-730
LSRFortessa X-20,X-20D (Applejack),R658226R1115,R-670
LSRFortessa X-20,X-20D (Applejack),R658226R1115,YG-780
LSRFortessa X-20,X-20D (Applejack),R658226R1115,YG-710
LSRFortessa X-20,X-20D (Applejack),R658226R1115,YG-670
LSRFortessa X-20,X-20D (Applejack),R658226R1115,YG-610
LSRFortessa X-20,X-20D (Applejack),R658226R1115,YG-582
LSRFortessa X-20,X-20D (Applejack),R658226R1115,UV515
LSRFortessa X-20,X-20D (Applejack),R658226R1115,UV-379
LSRFortessa X-20,R&D Fortessa,H5B700005,UV-740
LSRFortessa X-20,R&D Fortessa,H5B700005,UV-379
LSRFortessa X-20,R&D Fortessa,H5B700006,V-610
LSRFortessa X-20,R&D Fortessa,H5B700007,V-525
LSRFortessa X-20,R&D Fortessa,H5B700008,V-450
LSRFortessa X-20,R&D Fortessa,H5B700009,B-780
LSRFortessa X-20,R&D Fortessa,H5B700010,B-695
LSRFortessa X-20,R&D Fortessa,H5B700011,B-610
LSRFortessa X-20,R&D Fortessa,H5B700012,B-575
LSRFortessa X-20,R&D Fortessa,H5B700013,B-525
LSRFortessa X-20,R&D Fortessa,H5B700014,SSC
LSRFortessa X-20,R&D Fortessa,H5B700015,YG-780
LSRFortessa X-20,R&D Fortessa,H5B700016,YG-710
LSRFortessa X-20,R&D Fortessa,H5B700017,YG-670
LSRFortessa X-20,R&D Fortessa,H5B700018,YG-610
LSRFortessa X-20,R&D Fortessa,H5B700019,YG-582
LSRFortessa X-20,R&D Fortessa,H5B700020,R-780
LSRFortessa X-20,R&D Fortessa,H5B700021,R-730
LSRFortessa X-20,R&D Fortessa,H5B700022,R-670
LSRFortessa X-20,SORP Fortessa,H47700019,V-780
LSRFortessa X-20,SORP Fortessa,H47700019,V-710
LSRFortessa X-20,SORP Fortessa,H47700019,V-670
LSRFortessa X-20,SORP Fortessa,H47700019,V-610
LSRFortessa X-20,SORP Fortessa,H47700019,V-525
LSRFortessa X-20,SORP Fortessa,H47700019,V-450
LSRFortessa X-20,SORP Fortessa,H47700019,B-695
LSRFortessa X-20,SORP Fortessa,H47700019,B-525
LSRFortessa X-20,SORP Fortessa,H47700019,SSC
LSRFortessa X-20,SORP Fortessa,H47700019,YG-780
LSRFortessa X-20,SORP Fortessa,H47700019,YG-710
LSRFortessa X-20,SORP Fortessa,H47700019,YG-670
LSRFortessa X-20,SORP Fortessa,H47700019,YG-610
LSRFortessa X-20,SORP Fortessa,H47700019,YG-582
LSRFortessa X-20,SORP Fortessa,H47700019,R-780
LSRFortessa X-20,SORP Fortessa,H47700019,R-730
LSRFortessa X-20,SORP Fortessa,H47700019,R-670
FACSCanto II,Sales Demo FACSCanto II,V33896201774,V-525
FACSCanto II,Sales Demo FACSCanto II,V33896201774,V-450
FACSCanto II,Sales Demo FACSCanto II,V33896201774,B-780
FACSCanto II,Sales Demo FACSCanto II,V33896201774,B-695
FACSCanto II,Sales Demo FACSCanto II,V33896201774,B-575
FACSCanto II,Sales Demo FACSCanto II,V33896201774,B-525
FACSCanto II,Sales Demo FACSCanto II,V33896201774,SSC
FACSCanto II,Sales Demo FACSCanto II,V33896201774,R-780
FACSCanto II,Sales Demo FACSCanto II,V33896201774,R-670
FACSCanto II,Hybridoma FACSCanto II,V96300706,V-525
FACSCanto II,Hybridoma FACSCanto II,V96300706,V-450
FACSCanto II,Hybridoma FACSCanto II,V96300706,B-780
FACSCanto II,Hybridoma FACSCanto II,V96300706,B-695
FACSCanto II,Hybridoma FACSCanto II,V96300706,B-575
FACSCanto II,Hybridoma FACSCanto II,V96300706,B-525
FACSCanto II,Hybridoma FACSCanto II,V96300706,SSC
FACSCanto II,Hybridoma FACSCanto II,V96300706,R-780
FACSCanto II,Hybridoma FACSCanto II,V96300706,R-670
FACSCanto II,Fusion,P6567000 00054,UV-740
FACSCanto II,Fusion,P6567000 00054,UV-515
FACSCanto II,Fusion,P6567000 00054,UV-379
FACSCanto II,Fusion,P6567000 00054,V-780
FACSCanto II,Fusion,P6567000 00054,V-710
FACSCanto II,Fusion,P6567000 00054,V-670
FACSCanto II,Fusion,P6567000 00054,V-610
FACSCanto II,Fusion,P6567000 00054,V-525
FACSCanto II,Fusion,P6567000 00054,V-450
FACSCanto II,Fusion,P6567000 00054,B-695
FACSCanto II,Fusion,P6567000 00054,B-525
FACSCanto II,Fusion,P6567000 00054,SSC
FACSCanto II,Fusion,P6567000 00054,YG-780
FACSCanto II,Fusion,P6567000 00054,YG-670
FACSCanto II,Fusion,P6567000 00054,YG-610
FACSCanto II,Fusion,P6567000 00054,YG-582
FACSCanto II,Fusion,P6567000 00054,R-780
FACSCanto II,Fusion,P6567000 00054,R-730
FACSCanto II,Fusion,P6567000 00054,R-670
FACSCelesta,Celesta BVR,PROTO6,V-780
FACSCelesta,Celesta BVR,PROTO6,V-670
FACSCelesta,Celesta BVR,PROTO6,V-610
FACSCelesta,Celesta BVR,PROTO6,V-525
FACSCelesta,Celesta BVR,PROTO6,V-450
FACSCelesta,Celesta BVR,PROTO6,B-695
FACSCelesta,Celesta BVR,PROTO6,B-610
FACSCelesta,Celesta BVR,PROTO6,B-575
FACSCelesta,Celesta BVR,PROTO6,B-525
FACSCelesta,Celesta BVR,PROTO6,SSC
FACSCelesta,Celesta BVR,PROTO6,R-780
FACSCelesta,Celesta BVR,PROTO6,R-730
FACSCelesta,Celesta BVR,PROTO6,R-670
FACSCelesta,Celesta BVUV,PROTO7,UV-740
FACSCelesta,Celesta BVUV,PROTO7,UV-379
FACSCelesta,Celesta BVUV,PROTO7,V-780
FACSCelesta,Celesta BVUV,PROTO7,V-710
FACSCelesta,Celesta BVUV,PROTO7,V-670
FACSCelesta,Celesta BVUV,PROTO7,V-610
FACSCelesta,Celesta BVUV,PROTO7,V-525
FACSCelesta,Celesta BVUV,PROTO7,V-450
FACSCelesta,Celesta BVUV,PROTO7,B-695
FACSCelesta,Celesta BVUV,PROTO7,B-610
FACSCelesta,Celesta BVUV,PROTO7,B-575
FACSCelesta,Celesta BVUV,PROTO7,B-525
FACSCelesta,Celesta BVUV,PROTO7,SSC
